"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"RFrame1","AXIAL-0.3","12.3952mm","5.461mm","12.3952mm","5.461mm","16.2052mm","5.461mm","T","180.00","Rframe"
"JUMP10","Jumper(DIP2)","16.002mm","57.8612mm","17.272mm","57.8612mm","17.272mm","57.8612mm","T","180.00","Jumper(DIP2)"
"JUMP9","Jumper(DIP2)","15.7988mm","67.2592mm","17.0688mm","67.2592mm","17.0688mm","67.2592mm","T","180.00","Jumper(DIP2)"
"JUMP8","Jumper(DIP2)","81.153mm","48.641mm","81.153mm","47.371mm","81.153mm","47.371mm","T","90.00","Jumper(DIP2)"
"JUMP7","Jumper(DIP2)","35.052mm","70.6882mm","35.052mm","69.4182mm","35.052mm","69.4182mm","T","90.00","Jumper(DIP2)"
"B1","Barrel_Jack","58.103mm","12.9818mm","55.753mm","9.9568mm","60.453mm","13.0068mm","T","0.00","Barrel_Jack"
"R_voltdiv_2","0402","28.575mm","10.2108mm","28.575mm","10.2108mm","28.575mm","9.7917mm","T","90.00","1090"
"R_voltdiv_1","0402","28.0416mm","13.1064mm","28.0416mm","13.1064mm","27.6225mm","13.1064mm","T","360.00","3K"
"PressCon_2","PRESSCON_2","29.347mm","5.7786mm","26.797mm","6.5786mm","27.472mm","7.2286mm","T","360.00","PressureConn_2"
"IOconn_rev2","IOCONN_REV2","44.1152mm","5.5858mm","42.2402mm","7.0358mm","42.2402mm","7.0358mm","T","360.00","IOconn_rev2"
"JUMP5","JUMPER(DIP2)","16.0782mm","61.6712mm","17.3482mm","61.6712mm","17.3482mm","61.6712mm","B","180.00","Jumper(DIP2)"
"JUMP4","JUMPER(DIP2)","65.8114mm","40.2082mm","64.5414mm","40.2082mm","64.5414mm","40.2082mm","B","0.00","Jumper(DIP2)"
"JUMP3","JUMPER(DIP2)","69.85mm","80.1624mm","71.12mm","80.1624mm","71.12mm","80.1624mm","B","180.00","Jumper(DIP2)"
"JUMP2","JUMPER(DIP2)","44.069mm","75.819mm","44.069mm","77.089mm","44.069mm","77.089mm","T","270.00","Jumper(DIP2)"
"JUMP1","JUMPER(DIP2)","79.756mm","85.217mm","79.756mm","86.487mm","79.756mm","86.487mm","T","270.00","Jumper(DIP2)"
"U1","S-PVQFN-N16","61.2706mm","65.278mm","61.2706mm","65.278mm","62.5206mm","66.028mm","B","180.00","TPS43061RTER"
"Rt","0402","63.4296mm","68.707mm","63.4296mm","68.707mm","63.8487mm","68.707mm","B","180.00","CRCW0402107KFKED"
"Rsns2","2512","61.3722mm","56.642mm","61.3722mm","56.642mm","59.1243mm","56.642mm","B","360.00","PMR100HZPFU6L00"
"Rsns1","2512","61.423mm","53.1622mm","61.423mm","53.1622mm","59.1751mm","53.1622mm","B","360.00","PMR100HZPFU6L00"
"Rpg","0402","61.0674mm","70.1802mm","61.0674mm","70.1802mm","60.6483mm","70.1802mm","B","360.00","CRCW0402100KFKED"
"Rfbt","0402","70.2056mm","62.6364mm","70.2056mm","62.6364mm","70.6247mm","62.6364mm","B","180.00","CRCW040297K6FKED"
"Rfbb","0402","70.104mm","64.0588mm","70.104mm","64.0588mm","69.6849mm","64.0588mm","B","360.00","CRCW040211K0FKED"
"Rcomp","0402","70.7956mm","65.3796mm","70.7956mm","65.3796mm","71.2147mm","65.3796mm","B","180.00","CRCW04029K53FKED"
"R14","0402","59.899mm","59.4106mm","59.899mm","59.4106mm","59.899mm","58.9915mm","B","90.00","CRCW040210R0FKED"
"R13","0402","63.0682mm","59.4868mm","63.0682mm","59.4868mm","63.0682mm","59.0677mm","B","90.00","CRCW040210R0FKED"
